raw_description,amount,currency,direction,transaction_type,merchant_name,mcc,label,source
FASTER PAYMENT TO SAVINGS 11MAY,2343.29,GBP,credit,FPS,,,Transfers,synthetic
DD SELF ASSESSMENT TAX,398.07,GBP,debit,DD,HM REVENUE & CUSTOMS,9211,Taxes,synthetic
GOOGLE PAY WAITROSE REF 76276072,71.69,GBP,debit,GOOGLE_PAY,WAITROSE,5300,Groceries,synthetic
DD SELF ASSESSMENT TAX,194.52,GBP,debit,DD,DVLA,9211,Taxes,synthetic
VISA NEXT REF 25631350,117.21,GBP,debit,CARD,NEXT,5310,Shopping,synthetic
TFR TO JOINT ACCOUNT REF 52719028,2560.50,GBP,credit,TFR,,,Transfers,synthetic
CARD PAYMENT CAFE LOCAL 90610,7.15,GBP,debit,CARD,CAFE LOCAL,5812,Coffee Shops,synthetic
BACS MACMILLAN 81236,86.63,GBP,debit,BACS,MACMILLAN,8398,Charity,synthetic
PAYPAL GOOGLE STORAGE REF 73398160,12.60,GBP,debit,PAYPAL,GOOGLE STORAGE,5734,Subscriptions,synthetic
CARD TRAVELODGE HEATHROW 61736,138.00,GBP,debit,CARD,TRAVELODGE,4411,Travel,synthetic
DIRECT DEBIT SSE,156.48,GBP,debit,DD,SSE,4900,Utilities,synthetic
POS WETHERSPOONS  20240115,79.57,GBP,debit,POS,WETHERSPOONS,5814,Dining,synthetic
CASH WITHDRAWAL LINK ATM MANCHESTER 90897 //,247.94,GBP,debit,ATM,LINK ATM,6011,Cash Withdrawal,synthetic
FASTER PAYMENT INNOTECH LTD PAYROLL REF 42653792,5860.31,GBP,credit,FPS,INNOTECH LTD,,Salary,synthetic
DD EDF ENERGY REF 28216197,269.53,GBP,debit,DD,EDF ENERGY,4899,Utilities,synthetic
STANDING ORDER VITALITY  11 SEP,390.62,GBP,debit,SO,VITALITY,6300,Insurance,synthetic
BACS SALARY NORTHWIND SERVICES,1401.90,GBP,credit,BACS,NORTHWIND SERVICES,,Salary,synthetic
ACCOUNT FEE BARCLAYS,39.60,GBP,debit,SO,BARCLAYS,6051,Fees,synthetic
POS ROYAL MAIL REF 19758685,129.65,GBP,debit,POS,ROYAL MAIL,5999,Other,synthetic
PAYPAL NETFLIX.COM  15 MAY,23.71,GBP,debit,PAYPAL,NETFLIX.COM,4899,Subscriptions,synthetic
CARD PAYMENT DENTAL LONDON 1364,94.52,GBP,debit,CARD,DENTAL,5912,Healthcare,synthetic
CARD PAYMENT HARVESTER 61060 15 JAN,46.04,GBP,debit,CARD,HARVESTER,5812,Dining,synthetic
CARD PAYMENT OXFAM  88944,51.78,GBP,debit,CARD,OXFAM,8398,Charity,synthetic
POS PRET  20546,9.15,GBP,debit,POS,PRET,5812,Coffee Shops,synthetic
STANDING ORDER SCOTTISH POWER REF 11023114,138.87,GBP,debit,SO,SCOTTISH POWER,4900,Utilities,synthetic
FPS DVLA VEHICLE TAX,387.36,GBP,debit,FPS,HMRC,9399,Taxes,synthetic
BACS THREE PAYMENT,223.87,GBP,debit,BACS,THREE,4812,Utilities,synthetic
APPLE PAY TRAINLINE LONDON 20987 //,52.09,GBP,debit,APPLE_PAY,TRAINLINE,4131,Transport,synthetic
POS VUE 97510,95.56,GBP,debit,POS,VUE,7999,Entertainment,synthetic
DD VITALITY REF 65833774,58.69,GBP,debit,DD,VITALITY,5960,Insurance,synthetic
CARD PAYMENT CINEWORLD 97073,111.40,GBP,debit,CARD,CINEWORLD,7832,Entertainment,synthetic
VISA ALDI 82902,49.59,GBP,debit,CARD,ALDI,5300,Groceries,synthetic
POS TRAINLINE 94171,44.08,GBP,debit,POS,TRAINLINE,4131,Transport,synthetic
BACS RED CROSS 55669 23JUL.,76.35,GBP,debit,BACS,RED CROSS,8398,Charity,synthetic
PAYPAL NETFLIX.COM  62778,32.03,GBP,debit,PAYPAL,NETFLIX.COM,4899,Subscriptions,synthetic
DD NHS LONDON 61686,30.29,GBP,debit,DD,NHS,8021,Healthcare,synthetic
BACS DRY CLEANERS 59134,17.58,GBP,debit,BACS,DRY CLEANERS,7299,Other,synthetic
CARD PAYMENT GOOGLE STORAGE  26/12/2024,6.88,GBP,debit,CARD,GOOGLE STORAGE,5734,Subscriptions,synthetic
APPLE PAY NETFLIX 63986 17/01/2026,11.26,GBP,debit,APPLE_PAY,NETFLIX,5734,Subscriptions,synthetic
CARD EUROSTAR,418.62,GBP,debit,CARD,EUROSTAR,4511,Travel,synthetic
FOREIGN TRANSACTION FEE,14.27,GBP,debit,DD,NATIONWIDE,6051,Fees,synthetic
PAYPAL TICKETMASTER,100.92,GBP,debit,PAYPAL,TICKETMASTER,7922,Entertainment,synthetic
BACS BUPA  48515,13.99,GBP,debit,BACS,BUPA,5912,Healthcare,synthetic
FASTER PAYMENT FROM CURRENT ACCOUNT REF 64596715,1712.80,GBP,credit,FPS,,,Transfers,synthetic
CARD TESCO PETROL REF 29940502,129.03,GBP,debit,CARD,TESCO PETROL,5172,Fuel,synthetic
DD NHS PRESCRIPTION REF 54111562 *,85.48,GBP,debit,DD,NHS PRESCRIPTION,8011,Healthcare,synthetic
CARD PAYMENT LIME MANCHESTER *,42.49,GBP,debit,CARD,LIME,4789,Transport,synthetic
BACS LV 88936 26 NOV,201.82,GBP,debit,BACS,LV,5960,Insurance,synthetic
CARD PAYMENT PRET A MANGER 19154 04 JUL,15.54,GBP,debit,CARD,PRET A MANGER,5814,Coffee Shops,synthetic
CARD WETHERSPOONS  84600,18.05,GBP,debit,CARD,WETHERSPOONS,5814,Dining,synthetic
POS ZIZZI REF 88911183,11.07,GBP,debit,POS,ZIZZI,5814,Dining,synthetic
GOOGLE PAY ICELAND LEEDS 75453,61.84,GBP,debit,GOOGLE_PAY,ICELAND,5499,Groceries,synthetic
CARD PAYMENT MARKS & SPENCER  21 AUG,24.57,GBP,debit,CARD,MARKS & SPENCER,5499,Groceries,synthetic
LINK ATM LINK ATM,267.87,GBP,debit,ATM,LINK ATM,6011,Cash Withdrawal,synthetic
APPLE PAY GETT,56.33,GBP,debit,APPLE_PAY,GETT,4121,Transport,synthetic
VISA EUROSTAR HEATHROW 23JUN,833.40,GBP,debit,CARD,EUROSTAR,4722,Travel,synthetic
PAYPAL NSPCC 94070,50.92,GBP,debit,PAYPAL,NSPCC,8398,Charity,synthetic
CARD PLAYSTATION NETWORK *,117.78,GBP,debit,CARD,PLAYSTATION NETWORK,7832,Entertainment,synthetic
CASH WITHDRAWAL FEE,3.57,GBP,debit,DD,HALIFAX,6051,Fees,synthetic
BACS JUSTGIVING 59143,27.07,GBP,debit,BACS,JUSTGIVING,8398,Charity,synthetic
PAYPAL DISNEY PLUS  42787,5.07,GBP,debit,PAYPAL,DISNEY PLUS,5734,Subscriptions,synthetic
LINK ATM LINK ATM REF 93228956,167.43,GBP,debit,ATM,LINK ATM,6010,Cash Withdrawal,synthetic
VISA ASDA MANCHESTER 20230427,62.54,GBP,debit,CARD,ASDA,5499,Groceries,synthetic
DD CHURCHILL 73493 20251225,212.76,GBP,debit,DD,CHURCHILL,6300,Insurance,synthetic
FASTER PAYMENT ACME LTD PAYROLL REF 62144567,3189.00,GBP,credit,FPS,ACME LTD,,Salary,synthetic
DD UCL 96167 20261110,312.52,GBP,debit,DD,UCL,8299,Education,synthetic
BACS LV= ,353.29,GBP,debit,BACS,LV=,5960,Insurance,synthetic
CARD OPTICIANS,88.26,GBP,debit,CARD,OPTICIANS,8049,Healthcare,synthetic
CARD SHELL 38575 27JAN,59.13,GBP,debit,CARD,SHELL,5541,Fuel,synthetic
CARD PAYMENT JOHN LEWIS 4801,23.05,GBP,debit,CARD,JOHN LEWIS,5310,Shopping,synthetic
POS AMZN 16278,248.33,GBP,debit,POS,AMZN,5399,Shopping,synthetic
CASH WITHDRAWAL LINK ATM 90988,251.05,GBP,debit,ATM,LINK ATM,6011,Cash Withdrawal,synthetic
FPS PRIME HIRE LTD PAYROLL,2999.64,GBP,credit,FPS,PRIME HIRE LTD,,Salary,synthetic
STRIPE PRIMARK 74012,150.80,GBP,debit,STRIPE,PRIMARK,5691,Shopping,synthetic
CARD PAYMENT NOWTV,19.20,GBP,debit,CARD,NOWTV,5734,Subscriptions,synthetic
VISA TICKETMASTER 56428,42.28,GBP,debit,CARD,TICKETMASTER,7922,Entertainment,synthetic
PAYPAL UDEMY ,44.33,GBP,debit,PAYPAL,UDEMY,8220,Education,synthetic
CARD PAYMENT PLAYSTATION NETWORK REF 60126880 //,110.60,GBP,debit,CARD,PLAYSTATION NETWORK,7922,Entertainment,synthetic
FASTER PAYMENT TO SAVINGS,2281.48,GBP,credit,FPS,,,Transfers,synthetic
MASTERCARD EASYJET,386.42,GBP,debit,CARD,EASYJET,4411,Travel,synthetic
APPLE PAY PREZZO REF 49529438,19.53,GBP,debit,APPLE_PAY,PREZZO,5814,Dining,synthetic
OVERDRAFT INTEREST CHARGE,18.45,GBP,debit,DD,BARCLAYS,6012,Fees,synthetic
TRANSFER TO ISA 03/11/2023,185.81,GBP,credit,TFR,,,Transfers,synthetic
VISA RYANAIR REF 51340090,781.76,GBP,debit,CARD,RYANAIR,4411,Travel,synthetic
ATM ATM *,133.02,GBP,debit,ATM,ATM,6011,Cash Withdrawal,synthetic
POS DRY CLEANERS 93669 14/08/2023,37.42,GBP,debit,POS,DRY CLEANERS,5999,Other,synthetic
CARD STEAM GAMES REF 13395111,65.24,GBP,debit,CARD,STEAM GAMES,7832,Entertainment,synthetic
CARD OPTICIANS LONDON 81331,124.22,GBP,debit,CARD,OPTICIANS,8021,Healthcare,synthetic
APPLE PAY FIRST BUS REF 66711868,79.27,GBP,debit,APPLE_PAY,FIRST BUS,4121,Transport,synthetic
DD CITY LIT 72378 *,95.19,GBP,debit,DD,CITY LIT,8220,Education,synthetic
APPLE PAY AMAZON PRIME,23.17,GBP,debit,APPLE_PAY,AMAZON PRIME,5734,Subscriptions,synthetic
PAYPAL MICROSOFT 365  720,29.68,GBP,debit,PAYPAL,MICROSOFT 365,5734,Subscriptions,synthetic
TRANSFER TO ISA,381.31,GBP,credit,TFR,,,Transfers,synthetic
FASTER PAYMENT MONTHLY SALARY ACME LIMITED 20230115,3344.82,GBP,credit,FPS,ACME LIMITED,,Salary,synthetic
DD SUPERDRUG MANCHESTER 20240108,44.97,GBP,debit,DD,SUPERDRUG,8021,Healthcare,synthetic
CARD PAYMENT DVLA VEHICLE TAX,327.81,GBP,debit,CARD,HM REVENUE & CUSTOMS,9399,Taxes,synthetic
OVERDRAFT INTEREST CHARGE,25.43,GBP,debit,DD,HSBC,6012,Fees,synthetic
CARD PAYMENT ROYAL MAIL 92055,143.97,GBP,debit,CARD,ROYAL MAIL,7299,Other,synthetic
CARD ADOBE REF 76332051.,9.73,GBP,debit,CARD,ADOBE,5968,Subscriptions,synthetic
BACS SEVERN TRENT REF 94402421,149.34,GBP,debit,BACS,SEVERN TRENT,4812,Utilities,synthetic
SO LEGAL & GENERAL ,177.36,GBP,debit,SO,LEGAL & GENERAL,5960,Insurance,synthetic
BACS GOV.UK LONDON //,188.53,GBP,debit,BACS,GOV.UK,5999,Other,synthetic
BACS DRY CLEANERS 73672,76.41,GBP,debit,BACS,DRY CLEANERS,5999,Other,synthetic
CARD PAYMENT HMRC PAYMENT,457.59,GBP,debit,CARD,COUNCIL TAX,9399,Taxes,synthetic
VISA BOOKING.COM GATWICK,861.13,GBP,debit,CARD,BOOKING.COM,4722,Travel,synthetic
DD GREENPEACE 11105,52.87,GBP,debit,DD,GREENPEACE,8398,Charity,synthetic
CARD PAYMENT SELF ASSESSMENT TAX,490.77,GBP,debit,CARD,DVLA,9211,Taxes,synthetic
FASTER PAYMENT BLUEFIN SOLUTIONS PAYROLL REF 37459975,4547.10,GBP,credit,FPS,BLUEFIN SOLUTIONS,,Salary,synthetic
TFR TO SAVINGS 19JAN,3196.85,GBP,credit,TFR,,,Transfers,synthetic
BACS GREENPEACE,36.80,GBP,debit,BACS,GREENPEACE,8398,Charity,synthetic
POS CINEWORLD  55858,53.57,GBP,debit,POS,CINEWORLD,7999,Entertainment,synthetic
FASTER PAYMENT SALARY INNOTECH LTD,5973.73,GBP,credit,FPS,INNOTECH LTD,,Salary,synthetic
BACS POST OFFICE LONDON 20055,59.85,GBP,debit,BACS,POST OFFICE,7299,Other,synthetic
DD EE REF 10412348,170.18,GBP,debit,DD,EE,4812,Utilities,synthetic
STANDING ORDER BT REF 80033053,56.06,GBP,debit,SO,BT,4899,Utilities,synthetic
MASTERCARD BRITISH AIRWAYS REF 49596283,585.58,GBP,debit,CARD,BRITISH AIRWAYS,4722,Travel,synthetic
APPLE PAY DISNEY PLUS 38027 21OCT,10.32,GBP,debit,APPLE_PAY,DISNEY PLUS,5734,Subscriptions,synthetic
BACS BOOTS PHARMACY LONDON,128.26,GBP,debit,BACS,BOOTS PHARMACY,5912,Healthcare,synthetic
CASH WITHDRAWAL FEE,6.11,GBP,debit,DD,HALIFAX,6051,Fees,synthetic
CARD PAYMENT BOOTS PHARMACY 43946,107.06,GBP,debit,CARD,BOOTS PHARMACY,8011,Healthcare,synthetic
CARD ODEON LONDON 55334.,85.54,GBP,debit,CARD,ODEON,7999,Entertainment,synthetic
CARD PAYMENT ROYAL MAIL LONDON 16784,35.54,GBP,debit,CARD,ROYAL MAIL,5999,Other,synthetic
CARD PAYMENT SELF ASSESSMENT TAX,338.85,GBP,debit,CARD,DVLA,9211,Taxes,synthetic
SO E.ON REF 75299603,185.42,GBP,debit,SO,E.ON,4814,Utilities,synthetic
SQ STARBUCKS 66677 18AUG,9.90,GBP,debit,SQUARE,STARBUCKS,5814,Coffee Shops,synthetic
POS POST OFFICE,159.63,GBP,debit,POS,POST OFFICE,5999,Other,synthetic
STRIPE CURRY'S REF 53571790,246.31,GBP,debit,STRIPE,CURRY'S,5311,Shopping,synthetic
TRANSFER TO ISA 20230718,1086.22,GBP,credit,TFR,,,Transfers,synthetic
CARD PAYMENT ROYAL MAIL 39185,194.92,GBP,debit,CARD,ROYAL MAIL,5999,Other,synthetic
CARD PAYMENT ASDA PETROL,123.09,GBP,debit,CARD,ASDA PETROL,5172,Fuel,synthetic
BACS NHS LONDON 71118 //,25.51,GBP,debit,BACS,NHS,5912,Healthcare,synthetic
POS TESCO PETROL REF 20082754,113.59,GBP,debit,POS,TESCO PETROL,5172,Fuel,synthetic
MASTERCARD ZIZZI REF 31337593,43.20,GBP,debit,CARD,ZIZZI,5812,Dining,synthetic
APPLE PAY PREZZO 82423,72.87,GBP,debit,APPLE_PAY,PREZZO,5814,Dining,synthetic
BACS NHS PRESCRIPTION  27 DEC,99.64,GBP,debit,BACS,NHS PRESCRIPTION,8021,Healthcare,synthetic
BACS GOV.UK ,13.14,GBP,debit,BACS,GOV.UK,7299,Other,synthetic
FPS HALCYON GROUP PAYROLL 20261017,3534.82,GBP,credit,FPS,HALCYON GROUP,,Salary,synthetic
VISA ODEON,83.21,GBP,debit,CARD,ODEON,7922,Entertainment,synthetic
OVERDRAFT INTEREST CHARGE,9.77,GBP,debit,SO,LLOYDS,6012,Fees,synthetic
FASTER PAYMENT ACME LTD PAYROLL 18 SEP,5419.67,GBP,credit,FPS,ACME LTD,,Salary,synthetic
VISA JET LONDON,125.57,GBP,debit,CARD,JET,5542,Fuel,synthetic
APPLE PAY PRET 96781,12.55,GBP,debit,APPLE_PAY,PRET,5814,Coffee Shops,synthetic
BACS MONTHLY SALARY PRIME HIRE LTD,3716.12,GBP,credit,BACS,PRIME HIRE LTD,,Salary,synthetic
BACS LANDLORD 2384 12AUG,829.58,GBP,debit,BACS,LANDLORD,6513,Rent/Mortgage,synthetic
GOOGLE PAY SAINSBURYS REF 28761086,98.44,GBP,debit,GOOGLE_PAY,SAINSBURYS,5499,Groceries,synthetic
BACS DIRECT LINE ,345.72,GBP,debit,BACS,DIRECT LINE,5960,Insurance,synthetic
PAYPAL OPEN UNIVERSITY NEWCASTLE 20JUN,428.15,GBP,debit,PAYPAL,OPEN UNIVERSITY,8220,Education,synthetic
SQ NERO LONDON,10.96,GBP,debit,SQUARE,NERO,5812,Coffee Shops,synthetic
CASH WITHDRAWAL FEE,9.49,GBP,debit,SO,BARCLAYS,6012,Fees,synthetic
APPLE PAY APPLE.COM/BILL  54949,27.07,GBP,debit,APPLE_PAY,APPLE.COM/BILL,4899,Subscriptions,synthetic
VISA NERO LONDON 10615,4.15,GBP,debit,CARD,NERO,5814,Coffee Shops,synthetic
FPS TO SAVINGS 26APR REF 53514076,4507.19,GBP,credit,FPS,,,Transfers,synthetic
